 ,post_title,post_author,post_date,post_type,post_status,date,open,high,low,close,volume_shares,value_mmk,companies,market_capitalization
73,13th Jun. 2016,admin,6/13/2016 0:00,company_1,publish,20160613,26000,26000,26000,26000,3204,83304000,23480013,610480
74,10th Jun. 2016,admin,6/10/2016 0:00,company_1,publish,20160610,25500,25500,25500,25500,2061,52555500,23480013,598740
75,9th Jun. 2016,admin,6/9/2016 0:00,company_1,publish,20160609,25500,25500,25500,25500,2912,74256000,23480013,598740
76,8th Jun. 2016,admin,6/8/2016 0:00,company_1,publish,20160608,26000,26000,26000,26000,3097,80522000,23480013,610480
77,7th Jun. 2016,admin,6/7/2016 0:00,company_1,publish,20160607,26000,26000,26000,26000,5290,137540000,23480013,610480
78,6th Jun. 2016,admin,6/6/2016 0:00,company_1,publish,20160606,26500,26500,26500,26500,1964,52046000,23480013,622220
79,3rd Jun. 2016,admin,6/3/2016 0:00,company_1,publish,20160603,26500,27000,26500,27000,6430,173037000,23480013,633960
80,2nd Jun. 2016,admin,6/2/2016 0:00,company_1,publish,20160602,25500,26000,25500,26000,11695,300487500,23480013,610480
81,1st Jun. 2016,admin,6/1/2016 0:00,company_1,publish,20160601,25500,25500,25500,25500,8023,204586500,23480013,598740
82,31st May 2016,admin,5/31/2016 0:00,company_1,publish,20160531,26000,26000,26000,26000,5018,130468000,23480013,610480
83,30th May 2016,admin,5/30/2016 0:00,company_1,publish,20160530,27000,27000,27000,27000,7075,191025000,23480013,633960
84,27th May 2016,admin,5/27/2016 0:00,company_1,publish,20160527,27000,27000,27000,27000,11585,312795000,23480013,633960
85,26th May 2016,admin,5/26/2016 0:00,company_1,publish,20160526,27000,27000,27000,27000,6446,174042000,23480013,633960
86,25th May 2016,admin,5/25/2016 0:00,company_1,publish,20160525,27000,27000,27000,27000,10611,286497000,23480013,633960
87,24th May 2016,admin,5/24/2016 0:00,company_1,publish,20160524,29000,29000,27500,27500,14914,424112000,23480013,645700
88,23rd May 2016,admin,5/23/2016 0:00,company_1,publish,20160523,31000,31000,30000,30000,23195,710626000,23480013,704400
89,20th May 2016,admin,5/20/2016 0:00,company_1,publish,20160520,31500,31500,31000,31000,19753,614384500,23480013,727880
90,19th May 2016,admin,5/19/2016 0:00,company_1,publish,20160519,26500,26500,26500,26500,9440,250160000,23480013,622220
91,18th May 2016,admin,5/18/2016 0:00,company_1,publish,20160518,25000,25000,25000,25000,12470,311750000,23480013,587000
92,17th May 2016,admin,5/17/2016 0:00,company_1,publish,20160517,25000,25000,25000,25000,10025,250625000,23480013,587000
93,16th May 2016,admin,5/16/2016 0:00,company_1,publish,20160516,25000,25000,25000,25000,5425,135625000,23480013,587000
94,13th May 2016,admin,5/13/2016 0:00,company_1,publish,20160513,27500,27500,27000,27000,6483,176915500,23480013,633960
95,11th May 2016,admin,5/11/2016 0:00,company_1,publish,20160511,27500,27500,27500,27500,5297,145667500,23480013,645700
96,10th May 2016,admin,5/10/2016 0:00,company_1,publish,20160510,28000,28500,28000,28500,4028,113221500,23480013,669180
97,9th May 2016,admin,5/9/2016 0:00,company_1,publish,20160509,28500,28500,28500,28500,3013,85870500,23480013,669180
98,6th May 2016,admin,5/6/2016 0:00,company_1,publish,20160506,28500,28500,28500,28500,6078,173223000,23480013,669180
99,5th May 2016,admin,5/5/2016 0:00,company_1,publish,20160505,28000,28000,28000,28000,7106,198968000,23480013,657440
100,3rd May 2016,admin,5/3/2016 0:00,company_1,publish,20160503,28500,29000,28500,29000,3796,108918500,23480013,680920
101,2nd May 2016,admin,5/2/2016 0:00,company_1,publish,20160502,30000,30000,28000,28000,3488,100526000,23480013,657440
102,29th Apr. 2016,admin,4/29/2016 0:00,company_1,publish,20160429,30000,30000,30000,30000,8507,255210000,23480013,704400
103,28th Apr. 2016,admin,4/28/2016 0:00,company_1,publish,20160428,30500,30500,30000,30000,9896,299156000,23480013,704400
104,27th Apr. 2016,admin,4/27/2016 0:00,company_1,publish,20160427,31000,31000,30500,30500,11628,358732500,23480013,716140
